Frequency (Hz),Omega_GW
5.291978735958459e+21,4.5296823658087984e-52
5.35356667741074e+21,4.723798815530873e-52
5.415871378079487e+21,4.925126677113533e-52
5.478901179593956e+21,5.133863582915658e-52
5.542664520663119e+21,5.3502080080603976e-52
5.607169938205469e+21,5.574358917525923e-52
5.672426068491989e+21,5.806515386289258e-52
5.738441648302404e+21,6.046876191648568e-52
5.805225516094908e+21,6.29563937688543e-52
5.872786613189489e+21,6.553001785471797e-52
5.94113398496504e+21,6.819158565077469e-52
6.010276782070388e+21,7.094302640692882e-52
6.080224261649428e+21,7.378624156250045e-52
6.150985788580504e+21,7.67230988420125e-52
6.222570836730231e+21,7.97554260260183e-52
6.294988990221888e+21,8.288500439339664e-52
6.368249944718586e+21,8.611356183261172e-52
6.44236350872137e+21,8.944276562061458e-52
6.517339604882421e+21,9.287421486935035e-52
6.593188271333541e+21,9.640943264124371e-52
6.669919663030115e+21,1.000498577365576e-51
6.747544053110686e+21,1.0379683615716398e-51
6.826071834272379e+21,1.0765161225303322e-51
6.905513520162316e+21,1.1161531955963932e-51
6.985879746785235e+21,1.1568897133649066e-51
7.067181273927477e+21,1.1987345081913626e-51
7.149428986597562e+21,1.2416950119925737e-51
7.232633896483519e+21,1.2857771534983517e-51
7.316807143427177e+21,1.3309852531488335e-51
7.401959996915622e+21,1.3773219158584592e-51
7.48810385759e+21,1.4247879218947905e-51
7.575250258771889e+21,1.4733821161485277e-51
7.663410868007431e+21,1.523101296100209e-51
7.752597488629433e+21,1.5739400988189947e-51
7.84282206133765e+21,1.625890887359592e-51
7.934096665797524e+21,1.6789436369546268e-51
8.026433522257207e+21,1.7330858214311835e-51
8.119844993184042e+21,1.788302300312958e-51
8.214343584919456e+21,1.844575207100201e-51
8.309941949353421e+21,1.9018838392528663e-51
8.406652885618351e+21,1.9602045504332512e-51
8.504489341802703e+21,2.019510645595705e-51
8.603464416684526e+21,2.0797722795412745e-51
8.703591361485183e+21,2.1409563595843574e-51
8.804883581643482e+21,2.2030264530062618e-51
8.907354638610458e+21,2.2659426999968554e-51
9.011018251665037e+21,2.3296617328096638e-51
9.115888299750837e+21,2.3941366018777852e-51
9.221978823334341e+21,2.459316709657263e-51
9.329304026284696e+21,2.5251477529809188e-51
9.437878277775391e+21,2.5915716747185803e-51
9.547716114208065e+21,2.6585266255489487e-51
9.658832241158707e+21,2.7259469366534745e-51
9.771241535346502e+21,2.793763104143352e-51
9.884959046625586e+21,2.8619017860266127e-51
1e+22,2.9302858125130296e-51
